knot,p,q,Ord(K)+1 is multiplicative?,answer to Question 1.4
m004,2,3,False,True
m004,2,5,False,True
m004,2,7,False,True
m004,2,9,False,True
m004,2,11,False,True
m015,2,3,False,True
m015,2,5,True,True
m015,2,7,True,True
m015,2,9,True,True
m015,2,11,True,True
m032,2,3,False,True
m032,2,5,False,True
m032,2,7,False,True
m032,2,9,False,True
m032,2,11,False,True
m053,2,3,False,True
m053,2,5,True,True
m053,2,7,True,True
m053,2,9,True,True
m053,2,11,True,True
m074,2,3,False,True
m074,2,5,False,True
m074,2,7,False,True
m074,2,9,False,True
m074,2,11,False,True
m094,2,3,False,True
m094,2,5,True,True
m094,2,7,True,True
m094,2,9,True,True
m094,2,11,True,True
m199,2,7,False,True
m199,2,9,False,True
m199,2,11,False,True
m199,2,13,False,True
m199,2,15,False,True
m201,2,7,True,True
m201,2,9,True,True
m201,2,11,True,True
m201,2,13,True,True
m201,2,15,True,True
m222,2,7,False,True
m222,2,9,False,True
m222,2,11,False,True
m222,2,13,False,True
m222,2,15,False,True
m224,2,7,False,True
m224,2,9,False,True
m224,2,11,False,True
m224,2,13,False,True
m224,2,15,False,True
m289,2,7,False,True
m289,2,9,False,True
m289,2,11,False,True
m289,2,13,False,True
m289,2,15,False,True
m340,2,7,True,True
m340,2,9,True,True
m340,2,11,True,True
m340,2,13,True,True
m340,2,15,True,True
m372,2,3,False,True
m372,2,5,False,True
m372,2,7,False,True
m372,2,9,False,True
m372,2,11,False,True
m389,2,15,True,True
m389,2,17,True,True
m389,2,19,True,True
m389,2,21,True,True
m389,2,23,True,True
s016,2,3,False,True
s016,2,5,False,True
s016,2,7,False,True
s016,2,9,False,True
s016,2,11,False,True
s023,2,3,False,True
s023,2,5,True,True
s023,2,7,True,True
s023,2,9,True,True
s023,2,11,True,True
s188,2,11,True,True
s188,2,13,True,True
s188,2,15,True,True
s188,2,17,True,True
s188,2,19,True,True
s194,2,11,False,True
s194,2,13,False,True
s194,2,15,False,True
s194,2,17,False,True
s194,2,19,False,True
s239,2,7,False,True
s239,2,9,False,True
s239,2,11,False,True
s239,2,13,False,True
s239,2,15,False,True
s385,2,11,False,True
s385,2,13,False,True
s385,2,15,False,True
s385,2,17,False,True
s385,2,19,False,True
s451,2,11,False,True
s451,2,13,False,True
s451,2,15,False,True
s451,2,17,False,True
s451,2,19,False,True
s526,2,11,True,True
s526,2,13,True,True
s526,2,15,True,True
s526,2,17,True,True
s526,2,19,True,True
s558,2,11,True,True
s558,2,13,True,True
s558,2,15,True,True
s558,2,17,True,True
s558,2,19,True,True
s580,2,7,True,True
s580,2,9,True,True
s580,2,11,True,True
s580,2,13,True,True
s580,2,15,True,True
s648,2,3,False,True
s648,2,5,False,True
s648,2,7,False,True
s648,2,9,False,True
s648,2,11,False,True
s704,2,7,False,True
s704,2,9,False,True
s704,2,11,False,True
s704,2,13,False,True
s704,2,15,False,True
s726,2,3,False,True
s726,2,5,False,True
s726,2,7,False,True
s726,2,9,False,True
s726,2,11,False,True
s836,2,15,True,True
s836,2,17,True,True
s836,2,19,True,True
s836,2,21,True,True
s836,2,23,True,True
s841,2,27,True,True
s841,2,29,True,True
s841,2,31,True,True
s841,2,33,True,True
s841,2,35,True,True
s862,2,7,False,True
s862,2,9,False,True
s862,2,11,False,True
s862,2,13,False,True
s862,2,15,False,True
s870,2,7,True,True
s870,2,9,True,True
s870,2,11,True,True
s870,2,13,True,True
s870,2,15,True,True
s879,2,3,False,True
s879,2,5,False,True
s879,2,7,False,True
s879,2,9,False,True
s879,2,11,False,True
s912,2,7,False,True
s912,2,9,False,True
s912,2,11,False,True
s912,2,13,False,True
s912,2,15,False,True
v0016,2,3,False,True
v0016,2,5,False,True
v0016,2,7,False,True
v0016,2,9,False,True
v0016,2,11,False,True
v0025,2,3,False,True
v0025,2,5,True,True
v0025,2,7,True,True
v0025,2,9,True,True
v0025,2,11,True,True
v0321,2,15,True,True
v0321,2,17,True,True
v0321,2,19,True,True
v0321,2,21,True,True
v0321,2,23,True,True
v0329,2,15,False,True
v0329,2,17,False,True
v0329,2,19,False,True
v0329,2,21,False,True
v0329,2,23,False,True
v0521,2,11,False,True
v0521,2,13,False,True
v0521,2,15,False,True
v0521,2,17,False,True
v0521,2,19,False,True
v0535,2,15,False,True
v0535,2,17,False,True
v0535,2,19,False,True
v0535,2,21,False,True
v0535,2,23,False,True
v0595,2,11,True,True
v0595,2,13,True,True
v0595,2,15,True,True
v0595,2,17,True,True
v0595,2,19,True,True
v0600,2,15,False,True
v0600,2,17,False,True
v0600,2,19,False,True
v0600,2,21,False,True
v0600,2,23,False,True
v0656,2,19,False,True
v0656,2,21,False,True
v0656,2,23,False,True
v0656,2,25,False,True
v0656,2,27,False,True
v0960,2,15,True,True
v0960,2,17,True,True
v0960,2,19,True,True
